code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
CR121,Music at CIT Cork School of Music,904.0,1141.0,yes,912.0,1078.0,yes,633.0,1052.0,yes
CR125,Popular Music at CIT Cork School of Music,1028.0,1029.0,yes,1088.0,1088.0,yes,972.0,1021.0,yes
CR130,Musical Theatre at CIT Cork School of Music,525.0,600.0,yes,505.0,600.0,yes,500.0,600.0,yes
CR150,Business Information Systems,350.0,409.0,no,335.0,391.0,no,326.0,371.0,no
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450.0,450.0,yes,0.0,0.0,yes,979.0,979.0,yes
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,400.0,yes,0.0,0.0,yes,620.0,819.0,yes
CR225,Photography with New Media at CIT Crawford College of Art and Design,435.0,560.0,yes,0.0,0.0,yes,920.0,920.0,yes
CR305,Physical Sciences (Common Entry),260.0,357.0,no,282.0,356.0,no,279.0,309.0,no
CR310,IT Management,347.0,372.0,no,297.0,339.0,no,282.0,317.0,no
CR320,Biomedical Science - Offered jointly by CIT and UCC,590.0,601.0,no,565.0,577.0,no,546.0,556.0,no
CR325,Pharmaceutical Biotechnology,466.0,488.0,no,398.0,440.0,no,388.0,422.0,no
CR333,Nutrition and Health Science,425.0,455.0,no,402.0,433.0,no,360.0,393.0,no
CR335,Biological Sciences (Common Entry),473.0,507.0,no,420.0,451.0,no,381.0,419.0,no
CR340,Analytical Chemistry with Quality Assurance,327.0,400.0,no,251.0,366.0,no,288.0,315.0,no
CR360,Instrument Engineering,301.0,378.0,no,261.0,388.0,no,291.0,329.0,no
CR365,Environmental Science and Sustainable Technology,262.0,347.0,no,253.0,341.0,no,334.0,362.0,no
CR370,Agri-Biosciences,368.0,423.0,no,397.0,453.0,no,408.0,431.0,no
CR400,Accounting,315.0,423.0,no,316.0,413.0,no,316.0,389.0,no
CR420,Marketing,290.0,357.0,no,285.0,346.0,no,288.0,329.0,no
CR425,International Business with Language,279.0,419.0,no,298.0,412.0,no,300.0,392.0,no
CR430,Sport and Exercise Management,402.0,434.0,no,322.0,407.0,no,,,
CR440,Montessori Education,408.0,431.0,no,288.0,362.0,no,,,
CR500,Engineering (Common Entry),475.0,499.0,no,411.0,465.0,no,381.0,424.0,no
CR510,Sustainable Energy Engineering,320.0,393.0,no,320.0,389.0,no,319.0,343.0,no
CR520,Biomedical Engineering,444.0,498.0,no,444.0,488.0,no,434.0,477.0,no
CR560,Architectural Technology,375.0,436.0,no,308.0,377.0,no,288.0,332.0,no
CR565,Interior Architecture,431.0,465.0,no,359.0,423.0,no,336.0,390.0,no
CR570,Quantity Surveying,375.0,429.0,no,336.0,392.0,no,279.0,342.0,no
CR572,Construction Management,300.0,349.0,no,269.0,318.0,no,253.0,300.0,no
CR580,Electrical Engineering,342.0,401.0,no,318.0,377.0,no,344.0,374.0,no
CR590,Electronic Engineering,329.0,409.0,no,303.0,379.0,no,342.0,411.0,no
CR600,Visual Communications at CIT Crawford College of Art and Design,280.0,510.0,yes,0.0,0.0,yes,587.0,888.0,yes
CR660,Tourism Management,246.0,328.0,no,252.0,325.0,no,249.0,290.0,no
CR700,Theatre and Drama Studies at CIT Cork School of Music,609.0,894.0,yes,645.0,982.0,yes,768.0,906.0,yes
CR930,Home Economics and Business,510.0,542.0,no,,,,,,
CK101,Arts - 3 years,300.0,400.0,no,300.0,388.0,no,300.0,368.0,no
CK102,Social Science,420.0,462.0,no,412.0,451.0,no,391.0,431.0,no
