code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
GC401,Accounting and Finance,242.0,337.0,no,202.0,343.0,no,181.0,309.0,no
GC402,Business (HRM),0.0,0.0,no,218.0,236.0,no,217.0,290.0,no
GC403,Law,242.0,319.0,no,228.0,328.0,no,225.0,308.0,no
GC407,Business (Marketing),176.0,318.0,no,218.0,321.0,no,246.0,330.0,no
GC430,Computing Science,251.0,325.0,no,220.0,298.0,no,217.0,269.0,no
GC450,Communications and Media Production,225.0,321.0,no,254.0,280.0,no,227.0,307.0,no
GC462,Design Communication (portfolio),300.0,300.0,yes,0.0,0.0,yes,,0.0,no
GC489,Interior Architecture (portfolio),274.0,429.0,yes,254.0,301.0,yes,267.0,361.0,yes
GC494,Fashion Design (portfolio),309.0,588.0,yes,217.0,412.0,yes,,0.0,yes
BY001,Business,210.0,323.0,no,,,,,,
ID001,Accounting and Finance,0.0,0.0,no,203.0,253.0,no,229.0,291.0,no
ID002,Business Studies,273.0,340.0,no,294.0,309.0,no,285.0,366.0,no
AD101,"First Year Art and Design (Common Entry,portfolio)",554.0,604.0,yes,0.0,0.0,yes,0.0,550.0,yes
AD102,Graphic Design and Moving Image Design (portfolio),538.0,625.0,yes,0.0,0.0,yes,0.0,635.0,yes
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),505.0,581.0,yes,0.0,0.0,yes,0.0,545.0,yes
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",591.0,620.0,yes,0.0,0.0,yes,0.0,580.0,yes
AD204,Fine Art (portfolio),514.0,583.0,yes,0.0,0.0,yes,0.0,600.0,yes
AD211,Fashion Design (portfolio),679.0,679.0,yes,0.0,0.0,yes,0.0,600.0,yes
AD212,Product Design (portfolio),413.0,569.0,yes,0.0,0.0,yes,0.0,600.0,yes
AD215,Visual Culture,300.0,380.0,no,320.0,389.0,no,300.0,338.0,no
AD217,Illustration (portfolio),738.0,0.0,yes,0.0,0.0,yes,0.0,625.0,yes
AD222,Interaction Design (portfolio),444.0,488.0,yes,0.0,0.0,yes,0.0,657.0,yes
NC003,Computing (Degree Award options),271.0,334.0,no,260.0,303.0,no,261.0,316.0,no
NC005,Human Resource Management,301.0,360.0,no,300.0,331.0,no,297.0,320.0,no
NC009,Business,300.0,371.0,no,300.0,346.0,no,297.0,339.0,no
NC010,Psychology,420.0,465.0,no,400.0,440.0,no,366.0,399.0,no
NC020,Marketing Practice,270.0,329.0,no,282.0,338.0,no,270.0,307.0,no
NC022,Accounting and Finance,330.0,390.0,no,337.0,378.0,no,338.0,376.0,no
NC023,Technology Management (with specialisations),266.0,356.0,no,261.0,282.0,no,260.0,303.0,no
NC030,Early Childhood Education and Care,251.0,308.0,no,,,,,,
RC001,Medicine - Undergraduate Entry (HPAT required),740.0,741.0,yes,733.0,738.0,yes,729.0,733.0,yes
RC004,Physiotherapy,589.0,589.0,no,566.0,567.0,no,532.0,542.0,no
RC005,Pharmacy,602.0,613.0,no,578.0,589.0,no,555.0,566.0,no
RC101,Medicine - Graduate Entry (GAMSAT required),62.0,66.0,yes,61.0,63.0,yes,60.0,62.0,yes
NM801,Montessori Education,262.0,320.0,no,220.0,290.0,no,,,
NM802,Psychology,228.0,338.0,no,,,,,,
TU801,Sustainable Energy Engineering,235.0,329.0,no,235.0,381.0,no,,,
TU802,Electrical Services and Energy Management,290.0,359.0,no,300.0,352.0,no,,,
TU804,Engineering (Common Entry with Award options),270.0,361.0,no,271.0,338.0,no,,,
TU805,Engineering (General Entry),465.0,499.0,no,402.0,466.0,no,,,
TU807,Computer Engineering in Mobile Systems,274.0,339.0,no,276.0,305.0,no,,,
TU810,Mechatronic Engineering,271.0,399.0,no,271.0,312.0,no,,,
TU811,Product Design,434.0,479.0,no,411.0,444.0,no,,,
TU812,"Design,Technology and Innovation",278.0,335.0,no,270.0,350.0,no,,,
TU814,Sustainable Transport Management,253.0,349.0,no,251.0,372.0,no,,,
TU828,Mechanical Engineering (General Entry),300.0,386.0,no,,,,,,
TU829,Electronic Engineering (General Entry),243.0,354.0,no,,,,,,
TU831,Architectural Technology,423.0,455.0,no,410.0,444.0,no,,,
TU832,Architecture (Suitability Test and Interview),638.0,682.0,yes,622.0,658.0,yes,,,
TU833,Construction Management,396.0,429.0,no,367.0,404.0,no,,,
TU834,Geographic Science,315.0,370.0,no,288.0,357.0,no,,,
TU835,Planning and Environmental Management,330.0,393.0,no,313.0,349.0,no,,,
TU836,Property Economics (Valuation Surveying),411.0,444.0,no,401.0,433.0,no,,,
TU837,Quantity Surveying and Construction Economics,413.0,455.0,no,385.0,418.0,no,,,
TU838,Sustainable Timber Technology,271.0,385.0,no,,,,,,
TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",400.0,464.0,no,349.0,419.0,no,,,
TU852,Chemical Sciences with Medicinal Chemistry,477.0,499.0,no,476.0,498.0,no,,,
TU854,Science (General Entry),510.0,532.0,no,476.0,495.0,no,,,
TU855,Science with Nanotechnology,322.0,382.0,no,319.0,368.0,no,,,
TU856,Computer Science,499.0,531.0,no,476.0,487.0,no,,,
TU857,Computer Science (Infrastructure),403.0,443.0,no,391.0,419.0,no,,,
TU858,Computer Science (International),395.0,444.0,no,377.0,424.0,no,,,
TU859,Computing,251.0,336.0,no,217.0,308.0,no,,,
TU860,Computing (Information Technology),270.0,356.0,no,260.0,329.0,no,,,
TU861,Computing with Language (French/German/Spanish),235.0,370.0,no,308.0,348.0,no,,,
TU862,Computing with Artificial Intelligence Machine Learning,262.0,310.0,no,226.0,288.0,no,,,
TU863,Digital Forensics and Cyber Security,282.0,346.0,no,280.0,338.0,no,,,
TU864,DNA and Forensic Analysis,441.0,465.0,no,390.0,429.0,no,,,
TU865,Cloud Computing,235.0,308.0,no,226.0,331.0,no,,,
TU866,Biomedical and Molecular Diagnostics,522.0,540.0,no,487.0,498.0,no,,,
TU867,Biomedical Science,565.0,578.0,no,524.0,542.0,no,,,
TU868,Clinical Measurement Science,542.0,554.0,no,510.0,520.0,no,,,
TU869,Environmental Health,387.0,434.0,no,336.0,375.0,no,,,
TU870,Human Nutrition and Dietetics,600.0,613.0,no,578.0,589.0,no,,,
TU871,Optometry,532.0,544.0,no,509.0,530.0,no,,,
TU872,Public Health Nutrition,487.0,521.0,no,491.0,512.0,no,,,
TU874,Mathematical Sciences,294.0,434.0,no,343.0,407.0,no,,,
TU875,Pharmaceutical Healthcare,451.0,477.0,no,400.0,440.0,no,,,
TU876,Pharmaceutical Science,445.0,474.0,no,349.0,391.0,no,,,
TU877,Physics Technology,314.0,422.0,no,308.0,373.0,no,,,
TU878,Physics with Energy and Environment,339.0,408.0,no,331.0,444.0,no,,,
TU879,Physics with Medical Physics and Bioengineering,346.0,430.0,no,351.0,403.0,no,,,
TU880,Physics with Data Science,412.0,532.0,no,0.0,0.0,no,,,
TU881,Food Innovation,309.0,423.0,no,318.0,389.0,no,,,
TU882,Nutraceuticals in Health and Nutrition,380.0,447.0,no,397.0,442.0,no,,,
TU902,Business (options),270.0,327.0,no,271.0,359.0,no,,,
TU903,Business and Management,477.0,509.0,no,463.0,485.0,no,,,
TU904,Business and Law,462.0,486.0,no,462.0,487.0,no,,,
TU905,Economics and Finance,460.0,488.0,no,465.0,488.0,no,,,
TU906,Human Resource Management,377.0,412.0,no,395.0,414.0,no,,,
TU907,Logistics and Supply Chain Management,300.0,367.0,no,300.0,387.0,no,,,
TU910,Accounting,420.0,462.0,no,444.0,466.0,no,,,
TU912,Business Analytics,311.0,367.0,no,330.0,366.0,no,,,
TU914,Business Computing,322.0,377.0,no,324.0,366.0,no,,,
TU917,Law (LLB ) with a Language,356.0,451.0,no,342.0,433.0,no,,,
TU918,Law (LLB),463.0,499.0,no,451.0,478.0,no,,,
TU919,Advertising and Marketing Communications,219.0,327.0,no,226.0,311.0,no,,,
TU920,Digital Marketing,270.0,339.0,no,270.0,318.0,no,,,
TU921,Digital Marketing Technologies,230.0,298.0,no,234.0,300.0,no,,,
TU922,Marketing,412.0,446.0,no,418.0,443.0,no,,,
TU924,E-Commerce in Retailing,307.0,380.0,no,307.0,380.0,no,,,
TU925,Retail and Services Management,307.0,368.0,no,301.0,362.0,no,,,
TU932,Business (options),211.0,337.0,no,,,,,,
TU933,Accounting and Finance (campus options),251.0,346.0,no,,,,,,
TU935,Sports Management and Coaching,300.0,368.0,no,300.0,347.0,no,,,
TU936,Sports Science and Health,484.0,498.0,no,391.0,419.0,no,,,
TU941,Botanical Cuisine,311.0,380.0,no,249.0,257.0,no,,,
TU942,Culinary Arts,252.0,348.0,no,212.0,340.0,no,,,
TU943,Culinary Entrepreneurship,261.0,387.0,no,279.0,357.0,no,,,
TU944,Culinary Science,336.0,393.0,no,316.0,379.0,no,,,
TU951,International Hospitality and Tourism Management,244.0,316.0,no,200.0,298.0,no,,,
TU952,International Hospitality Management,309.0,398.0,no,306.0,368.0,no,,,
TU953,Tourism and Digital Marketing,308.0,366.0,no,290.0,359.0,no,,,
TU954,Event Management,326.0,402.0,no,356.0,404.0,no,,,
TU955,Sports and Leisure Management,275.0,349.0,no,217.0,347.0,no,,,
TU961,Commercial Modern Music (BIMM - assessment/audition),536.0,881.0,yes,608.0,848.0,yes,,,
TU962,"Drama (Performance, audition)",448.0,551.0,yes,379.0,500.0,yes,,,
TU963,Music (audition),364.0,561.0,yes,416.0,535.0,yes,,,
TU965,International Business and Languages,357.0,442.0,no,346.0,413.0,no,,,
TU967,Languages and International Tourism,298.0,390.0,no,326.0,388.0,no,,,
TU973,Design - Visual Communication (portfolio),700.0,953.0,yes,717.0,865.0,yes,,,
TU974,Fine Art (portfolio),549.0,704.0,yes,563.0,826.0,yes,,,
TU975,Interior Design (portfolio),544.0,919.0,yes,632.0,879.0,yes,,,
TU976,Photography (portfolio),700.0,952.0,yes,695.0,926.0,yes,,,
TU978,Creative Industries and Visual Culture,299.0,440.0,no,,,,,,
TU981,Creative Digital Media,280.0,347.0,no,282.0,318.0,no,,,
TU982,Media Production and Digital Arts,369.0,412.0,no,311.0,352.0,no,,,
TU983,Film and Broadcasting,453.0,496.0,no,451.0,484.0,no,,,
TU984,Game Design,414.0,455.0,no,381.0,419.0,no,,,
TU985,Journalism,367.0,409.0,no,322.0,377.0,no,,,
TU989,Early Childhood Care and Education (campus options),270.0,337.0,no,,,,,,
TU991,Applied Social Studies in Social Care,326.0,356.0,no,325.0,352.0,no,,,
TU992,Community Development and Youth Work,251.0,311.0,no,253.0,297.0,no,,,
TU995,Early Childhood Education,378.0,412.0,no,367.0,409.0,no,,,
TU996,Social Care,407.0,440.0,no,400.0,419.0,no,,,
TU997,Applied Social Care,320.0,368.0,no,270.0,318.0,no,,,
TR002,Music,477.0,513.0,yes,382.0,468.0,no,414.0,473.0,yes
TR003,History,531.0,558.0,no,456.0,511.0,no,486.0,518.0,no
TR004,Law,589.0,601.0,no,565.0,578.0,no,532.0,552.0,no
TR005,Philosophy,456.0,510.0,no,442.0,476.0,no,391.0,446.0,no
TR006,Psychology,578.0,602.0,no,555.0,578.0,no,555.0,577.0,no
TR007,Clinical Speech and Language Studies,555.0,577.0,no,529.0,553.0,no,499.0,529.0,no
TR009,Music Education,486.0,530.0,yes,420.0,532.0,yes,430.0,465.0,yes
TR015,"Philosophy, Political Science, Economics and Sociology",613.0,625.0,no,589.0,601.0,no,566.0,577.0,no
TR016,Deaf Studies,389.0,440.0,no,329.0,377.0,no,337.0,372.0,no
TR018,Law and French,600.0,613.0,no,565.0,589.0,no,532.0,554.0,no
TR019,Law and German,567.0,588.0,no,542.0,566.0,no,523.0,555.0,no
TR021,"Classics, Ancient History and Archaeology",419.0,501.0,no,370.0,434.0,no,377.0,495.0,no
TR022,Early and Modern Irish,377.0,473.0,no,398.0,451.0,no,347.0,407.0,no
TR023,English Studies,533.0,555.0,no,474.0,511.0,no,463.0,511.0,no
TR024,European Studies,566.0,589.0,no,530.0,566.0,no,520.0,544.0,no
TR025,Drama and Theatre Studies,509.0,552.0,yes,530.0,581.0,yes,489.0,531.0,yes
TR028,Ancient and Medieval History and Culture,382.0,474.0,no,342.0,453.0,no,339.0,451.0,no
TR031,Mathematics,577.0,613.0,no,531.0,589.0,no,566.0,589.0,no
TR032,Engineering,554.0,581.0,no,508.0,533.0,no,487.0,520.0,no
TR033,Computer Science,543.0,578.0,no,509.0,545.0,no,465.0,488.0,no
TR034,Management Science and Information Systems Studies,625.0,625.0,no,613.0,625.0,no,589.0,602.0,no
TR035,Theoretical Physics,589.0,613.0,no,543.0,601.0,no,554.0,601.0,no
TR038,Engineering with Management,589.0,613.0,no,532.0,556.0,no,499.0,543.0,no
TR039,"Computer Science, Linguistics and a Language",443.0,531.0,no,424.0,488.0,no,435.0,498.0,no
TR040,Middle Eastern and European Languages and Cultures,397.0,531.0,no,466.0,521.0,no,485.0,518.0,no
TR041,Religion,417.0,476.0,no,368.0,418.0,no,347.0,393.0,no
TR042,Film,518.0,532.0,no,466.0,498.0,no,,,
TR043,History of Art and Architecture,467.0,519.0,no,354.0,474.0,no,,,
TR051,Medicine (HPAT required),743.0,751.0,yes,734.0,745.0,yes,730.0,739.0,yes
TR052,Dental Science,625.0,625.0,no,613.0,625.0,no,590.0,602.0,no
TR053,Physiotherapy,590.0,601.0,no,566.0,567.0,no,533.0,544.0,no
TR054,Occupational Therapy,577.0,589.0,no,533.0,554.0,no,500.0,520.0,no
TR055,Radiation Therapy,566.0,577.0,no,543.0,554.0,no,510.0,521.0,no
TR056,Human Health and Disease,601.0,613.0,no,564.0,578.0,no,543.0,565.0,no
TR060,Biological and Biomedical Sciences,577.0,590.0,no,543.0,566.0,no,510.0,542.0,no
TR061,Chemical Sciences,542.0,564.0,no,510.0,532.0,no,488.0,520.0,no
TR062,Geography and Geoscience,490.0,531.0,no,473.0,499.0,no,435.0,485.0,no
TR063,Physical Sciences,521.0,566.0,no,477.0,531.0,no,498.0,543.0,no
TR064,Environmental Science and Engineering,555.0,578.0,no,,,,,,
TR072,Pharmacy,613.0,625.0,no,590.0,613.0,no,555.0,577.0,no
TR080,Global Business,613.0,625.0,no,589.0,601.0,no,565.0,577.0,no
TR081,"Business, Economic and Social Studies (BESS)",566.0,589.0,no,543.0,565.0,no,518.0,542.0,no
TR084,Social Studies (Social Work),484.0,508.0,no,462.0,495.0,no,420.0,462.0,no
TR085,Business Studies and French,564.0,577.0,no,521.0,543.0,no,509.0,553.0,no
TR086,Business Studies and German,530.0,533.0,no,499.0,518.0,no,474.0,495.0,no
TR087,Business Studies and Russian,487.0,521.0,no,456.0,488.0,no,467.0,487.0,no
TR089,Business Studies and Polish,391.0,432.0,no,424.0,468.0,no,393.0,434.0,no
TR090,Business Studies and Spanish,566.0,589.0,no,531.0,542.0,no,510.0,543.0,no
TR091,General Nursing (Meath and St James`s),454.0,487.0,no,429.0,455.0,no,393.0,420.0,no
TR093,General Nursing (Adelaide School of Nursing),473.0,484.0,yes,414.0,441.0,yes,378.0,409.0,yes
TR095,Mental Health Nursing,432.0,455.0,no,408.0,430.0,no,358.0,377.0,no
TR097,Intellectual Disability Nursing,401.0,419.0,no,378.0,398.0,no,346.0,350.0,no
TR111,Ancient History and Archaeology/Geography,509.0,530.0,no,352.0,429.0,no,,,
TR112,Ancient History and Archaeology/History,577.0,577.0,no,529.0,0.0,no,,,
TR113,Ancient History and Archaeology/History of Art and Architecture,528.0,541.0,no,337.0,477.0,no,,,
TR114,Ancient History and Archaeology/Modern Language,507.0,512.0,no,337.0,420.0,no,,,
TR117,Ancient History and Archaeology/Religion,494.0,625.0,no,342.0,368.0,no,,,
TR166,Classical Civilisation/English Literature,552.0,567.0,no,496.0,523.0,no,,,
TR173,Classical Civilisation/History of Art and Architecture,420.0,487.0,no,335.0,466.0,no,,,
TR177,Classical Civilisation/Modern Language,484.0,543.0,no,335.0,536.0,no,,,
TR179,Classical Civilisation/Philosophy,521.0,522.0,no,479.0,518.0,no,,,
TR188,Computer Science/Business Studies,584.0,602.0,no,,,,,,
TR198,Economics/Geography,954.0,0.0,no,534.0,552.0,no,,,
TR202,Economics/History,601.0,625.0,no,534.0,566.0,no,,,
TR207,Economics/Mathematics,613.0,625.0,no,566.0,601.0,no,,,
TR208,Economics/Modern Language,589.0,611.0,no,534.0,578.0,no,,,
TR209,Economics/Philosophy,589.0,611.0,no,534.0,576.0,no,,,
TR212,Economics/Sociology,589.0,606.0,no,534.0,541.0,no,,,
TR214,Social Policy/Economics,611.0,611.0,no,,,,,,
TR228,Classical Languages/English Literature,555.0,583.0,no,498.0,533.0,no,,,
TR230,Classical Languages/Linguistics,501.0,501.0,no,,,,,,
TR231,Classical Languages/History of Art and Architecture,613.0,613.0,no,349.0,444.0,no,,,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",583.0,583.0,no,349.0,566.0,no,,,
TR239,Classical Languages/Modern Language,543.0,558.0,no,349.0,349.0,no,,,
TR240,Computer Science/Geography,482.0,541.0,no,,,,,,
TR241,Computer Science/Linguistics,495.0,532.0,no,,,,,,
TR262,English Literature/History,576.0,600.0,no,529.0,552.0,no,,,
TR263,English Literature/History of Art and Architecture,571.0,576.0,no,497.0,533.0,no,,,
TR269,English Literature/Philosophy,555.0,584.0,no,495.0,532.0,no,,,
TR272,English Literature/Sociology,553.0,567.0,no,498.0,519.0,no,,,
TR276,English Literature/Drama Studies,555.0,589.0,yes,476.0,530.0,yes,,,
TR277,English Literature/Modern Language,554.0,586.0,no,489.0,543.0,no,,,
TR311,Film/Drama Studies,578.0,578.0,yes,521.0,557.0,yes,,,
TR312,Film/English Literature,576.0,590.0,no,521.0,541.0,no,,,
TR320,Film/Music,584.0,601.0,yes,521.0,555.0,yes,,,
TR322,Geography/History,613.0,613.0,no,529.0,555.0,no,,,
TR323,Drama Studies/Modern Language,495.0,589.0,yes,473.0,551.0,yes,,,
TR324,Film/Modern Language,577.0,589.0,no,521.0,544.0,no,,,
TR325,Film/History,613.0,613.0,no,529.0,625.0,no,,,
TR326,Geography/Modern Language,451.0,500.0,no,352.0,440.0,no,,,
TR328,Political Science/Geography,564.0,590.0,no,,,,,,
TR332,Geography/Sociology,522.0,554.0,no,496.0,520.0,no,,,
TR443,History/History of Art and Architecture,581.0,613.0,no,529.0,532.0,no,,,
TR447,History/Modern Language,576.0,576.0,no,529.0,554.0,no,,,
TR449,History/Philosophy,579.0,590.0,no,529.0,543.0,no,,,
TR454,History/Religion,0.0,0.0,no,529.0,534.0,no,,,
TR455,History of Art and Architecture/Modern Language,451.0,512.0,no,334.0,454.0,no,,,
TR457,History/Political Science,576.0,590.0,no,,,,,,
TR479,History of Art and Architecture/Philosophy,519.0,531.0,no,485.0,555.0,no,,,
TR482,Sociology/History of Art and Architecture,522.0,541.0,no,,,,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",543.0,543.0,no,337.0,473.0,no,,,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",544.0,544.0,no,335.0,543.0,no,,,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",576.0,580.0,no,529.0,555.0,no,,,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",590.0,590.0,no,335.0,451.0,no,,,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",0.0,0.0,yes,0.0,0.0,yes,,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",949.0,0.0,no,342.0,0.0,no,,,
TR580,Business Studies/Law,625.0,625.0,no,,,,,,
TR581,History/Law,625.0,625.0,no,,,,,,
TR582,Political Science/Law,625.0,625.0,no,,,,,,
TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",0.0,0.0,no,,,,,,
TR588,Linguistics/Modern Language,456.0,519.0,no,,,,,,
TR589,Linguistics/Philosophy,520.0,553.0,no,,,,,,
TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",531.0,539.0,no,,,,,,
TR597,Mathematics/Modern Language,613.0,613.0,no,566.0,625.0,no,,,
TR598,Mathematics/Music,625.0,625.0,yes,566.0,0.0,yes,,,
TR599,Mathematics/Philosophy,625.0,625.0,no,566.0,589.0,no,,,
TR629,Music/Philosophy,533.0,533.0,yes,499.0,0.0,yes,,,
TR635,Music/Drama Studies,532.0,532.0,yes,473.0,487.0,yes,,,
TR636,Music/Modern Language,530.0,555.0,yes,388.0,455.0,yes,,,
TR638,Music/Religion,0.0,0.0,yes,388.0,440.0,yes,,,
TR639,Philosophy/Modern Language,520.0,540.0,no,499.0,613.0,no,,,
TR662,Philosophy/Sociology,531.0,542.0,no,499.0,531.0,no,,,
TR663,Religion/Classical Civilisation,418.0,442.0,no,342.0,591.0,no,,,
TR664,Religion/English Literature,966.0,0.0,no,498.0,565.0,no,,,
TR665,Religion/History of Art and Architecture,369.0,494.0,no,342.0,452.0,no,,,
TR666,Religion/Modern Language,0.0,0.0,no,0.0,0.0,no,,,
TR667,French/Modern Language,466.0,508.0,no,403.0,478.0,no,,,
TR668,German/Modern Language,441.0,521.0,no,389.0,465.0,no,,,
TR669,Irish/Modern Language,464.0,533.0,no,368.0,473.0,no,,,
TR670,Italian/Modern Language,462.0,498.0,no,381.0,466.0,no,,,
TR671,Russian/Modern Language,501.0,525.0,no,332.0,494.0,no,,,
TR672,Spanish/Modern Language,486.0,552.0,no,336.0,488.0,no,,,
TR756,Sociology/Modern Language,522.0,545.0,no,495.0,510.0,no,,,
TR757,Modern Language/Social Policy,555.0,566.0,no,,,,,,
TR758,Social Policy/Political Science,566.0,597.0,no,,,,,,
TR759,Sociology/Social Policy,554.0,579.0,no,,,,,,
TR911,Children`s and General Nursing (Integrated),529.0,544.0,no,499.0,521.0,no,476.0,487.0,no
TR913,Midwifery,520.0,543.0,no,473.0,508.0,no,423.0,462.0,no
DN100,Architecture,553.0,577.0,no,510.0,541.0,no,473.0,509.0,no
DN120,Landscape Architecture,430.0,484.0,no,407.0,453.0,no,353.0,403.0,no
DN130,City Planning and Environmental Policy,420.0,474.0,no,390.0,432.0,no,367.0,421.0,no
DN150,Engineering (Common Entry),556.0,601.0,no,520.0,565.0,no,511.0,554.0,no
DN200,Science (options),566.0,589.0,no,533.0,567.0,no,521.0,554.0,no
DN201,Computer Science (Common Entry),542.0,558.0,no,510.0,542.0,no,488.0,509.0,no
DN230,Actuarial and Financial Studies,613.0,625.0,no,601.0,613.0,no,577.0,589.0,no
DN240,Sustainability,506.0,532.0,no,440.0,498.0,no,,,
DN250,Agricultural Science (options),440.0,489.0,no,453.0,488.0,no,420.0,462.0,no
DN261,Food Science,522.0,544.0,no,476.0,495.0,no,434.0,467.0,no
DN262,Human Nutrition,566.0,577.0,no,531.0,553.0,no,493.0,510.0,no
DN300,Veterinary Medicine - Undergraduate Entry,601.0,613.0,yes,589.0,602.0,yes,567.0,589.0,yes
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),0.0,0.0,yes,0.0,0.0,yes,,0.0,yes
DN310,Veterinary Nursing,486.0,522.0,no,466.0,489.0,no,441.0,487.0,no
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,751.0,yes,736.0,748.0,yes,735.0,745.0,yes
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,63.0,yes,58.0,61.0,yes,59.0,61.0,yes
DN410,Radiography,565.0,578.0,no,531.0,543.0,no,507.0,522.0,no
DN411,Radiography - Graduate Entry,0.0,0.0,yes,0.0,0.0,yes,,0.0,yes
DN420,Physiotherapy,601.0,613.0,no,568.0,589.0,no,542.0,555.0,no
DN425,Health and Performance Science,541.0,555.0,no,507.0,521.0,no,488.0,509.0,no
DN430,Sport and Exercise Management,473.0,499.0,no,433.0,455.0,no,436.0,455.0,no
DN440,"Biomedical, Health and Life Sciences",613.0,618.0,no,589.0,601.0,no,565.0,579.0,no
DN450,General Nursing,462.0,490.0,no,421.0,445.0,no,398.0,420.0,no
DN451,Children`s and General Nursing (Integrated),532.0,554.0,no,499.0,529.0,no,462.0,499.0,no
DN452,Midwifery,507.0,511.0,no,473.0,499.0,no,409.0,452.0,no
DN453,Mental Health Nursing,441.0,451.0,no,393.0,412.0,no,379.0,403.0,no
DN520,Joint Honours (options),356.0,445.0,no,310.0,409.0,no,336.0,408.0,no
DN530,Humanities (options),359.0,465.0,no,326.0,419.0,no,348.0,411.0,no
DN541,Modern Languages (options),320.0,423.0,no,300.0,443.0,no,348.0,412.0,no
DN600,Law (options),566.0,588.0,no,543.0,566.0,no,520.0,532.0,no
DN610,Business and Law,566.0,589.0,no,544.0,577.0,no,521.0,543.0,no
DN650,Commerce,554.0,567.0,no,521.0,543.0,no,498.0,510.0,no
DN660,Commerce International (options),554.0,567.0,no,510.0,531.0,no,507.0,531.0,no
DN670,Economics and Finance,625.0,625.0,no,613.0,625.0,no,601.0,601.0,no
DN700,Social Sciences (options),463.0,509.0,no,418.0,466.0,no,388.0,441.0,no
DN710,Economics,522.0,544.0,no,498.0,510.0,no,476.0,488.0,no
DN720,Psychology,555.0,577.0,no,522.0,543.0,no,517.0,531.0,no
DN750,Social Policy and Sociology,408.0,441.0,no,377.0,408.0,no,330.0,366.0,no
DK810,Accounting and Finance,307.0,399.0,no,305.0,401.0,no,306.0,391.0,no
DK816,Business Studies,301.0,382.0,no,300.0,367.0,no,300.0,357.0,no
DK820,Computing in Games Development,309.0,381.0,no,311.0,348.0,no,307.0,369.0,no
DK821,Computing in Software Development,307.0,379.0,no,302.0,361.0,no,301.0,347.0,no
DK822,Augmented and Virtual Reality,307.0,340.0,no,304.0,380.0,no,,,
DK830,Building Surveying,305.0,378.0,no,336.0,352.0,no,302.0,349.0,no
DK831,Architectural Technology,314.0,377.0,no,389.0,433.0,no,301.0,366.0,no
DK832,Construction Management,305.0,362.0,no,387.0,419.0,no,300.0,329.0,no
DK843,Engineering (Common Entry),391.0,466.0,no,340.0,439.0,no,303.0,402.0,no
DK844,Mechanical Engineering,336.0,435.0,no,305.0,448.0,no,,,
DK845,Electrical and Electronic Engineering,331.0,434.0,no,304.0,392.0,no,,,
DK846,Civil Engineering,371.0,465.0,no,361.0,392.0,no,,,
DK850,International Tourism Management,303.0,417.0,no,317.0,377.0,no,,,
DK861,Arts,300.0,347.0,no,302.0,363.0,no,300.0,358.0,no
DK862,Social Care,301.0,348.0,no,301.0,347.0,no,300.0,338.0,no
DK863,Creative Media,309.0,432.0,no,308.0,337.0,no,300.0,376.0,no
DK864,Film and Television Production,308.0,399.0,no,300.0,402.0,no,300.0,332.0,no
DK865,Audio and Music Production,308.0,404.0,no,301.0,367.0,no,301.0,346.0,no
DK870,General Nursing,433.0,451.0,no,397.0,419.0,no,392.0,401.0,no
DK872,Intellectual Disability Nursing,347.0,368.0,no,336.0,358.0,no,300.0,317.0,no
DK874,Mental Health Nursing,391.0,414.0,no,356.0,379.0,no,356.0,378.0,no
DK876,Early Childhood Studies,300.0,357.0,no,321.0,388.0,no,305.0,359.0,no
DK877,Midwifery,470.0,495.0,no,440.0,470.0,no,398.0,441.0,no
DK880,Health and Physical Activity,300.0,397.0,no,328.0,389.0,no,300.0,367.0,no
DK882,Agriculture (Award options),342.0,402.0,no,310.0,380.0,no,303.0,358.0,no
DK883,Science (Award options),302.0,384.0,no,300.0,370.0,no,300.0,369.0,no
DK884,Sustainable Agriculture,348.0,397.0,no,0.0,0.0,no,,,
DK885,Agri-Food Production,0.0,0.0,no,0.0,0.0,no,,,
DK886,Biopharmaceutical Science,347.0,388.0,no,301.0,338.0,no,,,
DK887,Environmental Science,377.0,440.0,no,330.0,589.0,no,,,
GA181,Accounting,303.0,400.0,no,309.0,403.0,no,303.0,378.0,no
GA182,Business,285.0,369.0,no,287.0,347.0,no,290.0,347.0,no
