,code,course name,EOS,Mid,test
29,AL801,Software Design for Virtual Reality and Gaming,300.0,359.0,no
30,AL802,Software Design in Artificial Intelligence for Cloud Computing,313.0,381.0,no
31,AL803,Software Design for Mobile Apps and Connected Devices,350.0,398.0,no
32,AL805,Computer Engineering for Network Infrastructure,321.0,381.0,no
33,AL810,Quantity Surveying,328.0,377.0,no
34,AL811,Civil Engineering,0.0,0.0,no
35,AL820,Mechanical and Polymer Engineering,327.0,398.0,no
36,AL830,General Nursing,440.0,455.0,no
37,AL832,Mental Health Nursing,431.0,451.0,no
38,AL835,Pharmacology,356.0,429.0,no
39,AL836,Nutrition and Health Science,346.0,398.0,no
40,AL837,Sports Science with Exercise Physiology,357.0,409.0,no
41,AL838,Biotechnology,324.0,434.0,no
42,AL839,Microbiology,325.0,408.0,no
43,AL840,Pharmaceutical Sciences,346.0,402.0,no
44,AL841,Athletic and Rehabilitation Therapy,462.0,489.0,no
45,AL842,Bioveterinary Science,338.0,413.0,no
46,AL843,Physical Activity and Health Science,306.0,358.0,no
47,AL849,Culinary Entrepreneurship,297.0,327.0,no
48,AL850,Business,309.0,369.0,no
49,AL851,Business and Law,302.0,357.0,no
50,AL852,Accounting,336.0,466.0,no
51,AL854,Sport Management (with international placement),299.0,349.0,no
52,AL855,Hospitality Management (with international placement),309.0,378.0,no
53,AL857,Digital Marketing,304.0,398.0,no
54,AL859,International Business,308.0,371.0,no
55,AL860,Social Care Practice,301.0,359.0,no
56,AL861,Animation and Illustration (portfolio),575.0,760.0,yes
57,AL863,Graphic and Digital Design (portfolio),747.0,808.0,yes
58,AL864,Early Years Care and Education,306.0,366.0,no
59,AL870,Applied Psychology,452.0,480.0,no
61,CW018,Business (options),307.0,381.0,no
63,CW028,Early Childhood Education and Care,260.0,378.0,no
65,CW038,Art (portfolio),700.0,700.0,yes
67,CW048,Creative Computing and Digital Innovation,0.0,0.0,no
69,CW058,Tourism and Event Management,292.0,356.0,no
70,CW068,Applied Social Studies in Professional Social Care,250.0,306.0,no
72,CW078,Sustainable Farm Management and Agribusiness,270.0,363.0,no
74,CW088,Visual Communications and Design,270.0,290.0,no
77,CW108,Science (options),266.0,361.0,no
81,CW128,Brewing and Distilling,307.0,349.0,no
82,CW138,Sport and Exercise Science,423.0,462.0,no
83,CW148,Strength and Conditioning,388.0,409.0,no
84,CW188,Sport Rehabilitation and Athletic Therapy,451.0,488.0,no
87,CW208,Computer Games Development,272.0,333.0,no
91,CW238,Software Development,295.0,387.0,no
92,CW248,Information Technology Management,293.0,338.0,no
93,CW258,Cybercrime and IT Security,292.0,382.0,no
94,CW268,Computing in Interactive Digital Art and Design,291.0,384.0,no
98,CW438,Construction (options),251.0,336.0,no
99,CW468,Architectural Technology,283.0,353.0,no
100,CW478,Civil Engineering,465.0,465.0,no
105,CW548,Mechanical Engineering,328.0,396.0,no
106,CW558,Electronic Systems,280.0,380.0,no
107,CW568,Aerospace Engineering,359.0,433.0,no
108,CW578,TV and Media Production,318.0,358.0,no
111,CW708,Law - LLB,292.0,390.0,no
113,CW728,Product Design Innovation,246.0,370.0,no
114,CW748,Early Childhood Education and Care,290.0,377.0,no
115,CW758,Professional Social Care Practice,358.0,397.0,no
117,CW808,Media and Public Relations,247.0,316.0,no
121,CW848,Digital Marketing with Analytics,269.0,336.0,no
122,CW858,"Sports Management and Coaching (options, portfolio)",700.0,700.0,yes
124,CW908,Business (options),272.0,348.0,no
128,CW938,Business with Law,270.0,382.0,no
129,CW948,Accounting,319.0,454.0,no
132,PC405,"Social, Political and Community Studies",235.0,298.0,no
133,PC410,Arts and Humanities (fulfils Teaching Council requirements),230.0,336.0,no
134,PC411,English and History (fulfils Teaching Council requirements),224.0,356.0,no
159,CR105,Chemical and Biopharmaceutical Engineering,443.0,532.0,no
160,CR106,Software Development,431.0,476.0,no
161,CR108,Mechanical Engineering,434.0,509.0,no
162,CR109,Structural Engineering,396.0,465.0,no
163,CR110,Automotive Business Management and Technology,336.0,388.0,no
164,CR112,Creative Digital Media at CIT Crawford College of Art and Design,390.0,455.0,no
165,CR116,Computer Systems,365.0,400.0,no
166,CR121,Music at CIT Cork School of Music,904.0,1141.0,yes
167,CR125,Popular Music at CIT Cork School of Music,1028.0,1029.0,yes
168,CR130,Musical Theatre at CIT Cork School of Music,525.0,600.0,yes
169,CR150,Business Information Systems,350.0,409.0,no
170,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450.0,450.0,yes
171,CR220,Fine Art at CIT Crawford College of Art and Design,400.0,400.0,yes
172,CR225,Photography with New Media at CIT Crawford College of Art and Design,435.0,560.0,yes
174,CR305,Physical Sciences (Common Entry),260.0,357.0,no
175,CR310,IT Management,347.0,372.0,no
176,CR320,Biomedical Science - Offered jointly by CIT and UCC,590.0,601.0,no
177,CR325,Pharmaceutical Biotechnology,466.0,488.0,no
178,CR333,Nutrition and Health Science,425.0,455.0,no
179,CR335,Biological Sciences (Common Entry),473.0,507.0,no
180,CR340,Analytical Chemistry with Quality Assurance,327.0,400.0,no
181,CR360,Instrument Engineering,301.0,378.0,no
182,CR365,Environmental Science and Sustainable Technology,262.0,347.0,no
