,code,course name,EOS,Mid,test
1448,WD187,Social Science,272.0,348.0,no
1450,WD191,Agricultural Science,377.0,420.0,no
1451,WD192,Social Care Practice,270.0,326.0,no
1452,WD193,Marketing and Digital Media,271.0,347.0,no
1453,WD194,Culinary Arts,217.0,321.0,no
1454,WD195,Architectural and Building Information Modelling Technology,279.0,367.0,no
1455,WD200,Arts (options),0.0,336.0,no
1460,WD210,Software Systems Development,279.0,337.0,no
1461,WD211,Creative Computing,271.0,318.0,no
1462,WD212,Recreation and Sport Management,270.0,349.0,no
1463,WD230,Mechanical and Manufacturing Engineering,253.0,369.0,no
