,code,course name,EOS,Mid,test
2,AL801,Software Design with Virtual Reality and Gaming,304.0,328.0,no
3,AL802,Software Design with Cloud Computing,301.0,306.0,no
4,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337.0,no
5,AL805,Network Management and Cloud Infrastructure,329.0,442.0,no
6,AL810,Quantity Surveying,307.0,349.0,no
7,AL820,Mechanical and Polymer Engineering,300.0,358.0,no
8,AL830,General Nursing,410.0,429.0,no
9,AL832,Psychiatric Nursing,387.0,403.0,no
10,AL836,Nutrition and Health Science,352.0,383.0,no
11,AL837,Sports Science with Exercise Physiology,351.0,392.0,no
12,AL838,Biotechnology,302.0,372.0,no
13,AL839,Microbiology,322.0,371.0,no
14,AL840,Pharmaceutical Sciences,328.0,411.0,no
15,AL841,Athletic and Rehabilitation Therapy,423.0,430.0,no
16,AL842,Bioveterinary Science,310.0,366.0,no
17,AL843,Physical Activity and Health Science,310.0,330.0,no
18,AL850,Business,307.0,356.0,no
19,AL851,Business and Law,301.0,341.0,no
20,AL852,Accounting (with optional placement),290.0,346.0,no
21,AL853,Accounting and Law,305.0,320.0,no
22,AL855,Hospitality Management (with International placement),312.0,357.0,no
23,AL857,Digital Marketing,300.0,360.0,no
24,AL860,Social Care Practice,309.0,338.0,no
25,AL861,Animation and Illustration (portfolio),615.0,899.0,yes
26,AL863,Graphic and Digital Design (portfolio),703.0,898.0,yes
27,AL864,Early Years Care and Education,307.0,348.0,no
28,AL870,Applied Psychology,409.0,445.0,no
30,CW018,"Business (options, Wexford)",327.0,349.0,no
31,CW028,Early Childhood Education and Care (Wexford),252.0,308.0,no
32,CW038,"Art (portfolio, Wexford)",700.0,700.0,yes
33,CW058,Tourism and Event Management (Wexford),252.0,262.0,no
34,CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,280.0,no
35,CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,320.0,no
36,CW088,Visual Communications and Design (Wexford),309.0,345.0,no
37,CW108,Science (options),261.0,326.0,no
38,CW128,Brewing and Distilling,271.0,298.0,no
39,CW178,Sport Science (options),399.0,424.0,no
40,CW188,Sport Rehabilitation and Athletic Therapy,454.0,473.0,no
41,CW208,Computer Games Development,281.0,338.0,no
42,CW238,Software Development,300.0,343.0,no
43,CW248,Information Technology Management,307.0,357.0,no
44,CW258,Cybercrime and IT Security,300.0,328.0,no
45,CW268,Computing in Interactive Digital Art and Design,274.0,321.0,no
46,CW438,Construction (options),271.0,308.0,no
47,CW468,Architectural Technology,252.0,290.0,no
48,CW478,Civil Engineering,348.0,383.0,no
49,CW548,Mechanical Engineering,310.0,351.0,no
50,CW558,Electronic Systems,279.0,338.0,no
51,CW568,Aerospace Engineering,366.0,422.0,no
52,CW578,TV and Media Production,327.0,361.0,no
53,CW708,Law - LLB,298.0,328.0,no
54,CW728,Product Design Innovation,286.0,355.0,no
55,CW748,Early Childhood Education and Care,265.0,338.0,no
